tweet_id;author_username;tweet_text;author_location;created_at;found_at;source_status;deepseek_score;deepseek_reason;parent_tweet_id
2074263697745178680;selase_tefeh;@Rusia_HD Yes;;2026-07-06T22:46:18.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074263702376010078;alan_domke;@Rusia_HD Yes;;2026-07-06T22:46:19.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074263730263580994;RojasRE62;@Rusia_HD YES!;;2026-07-06T22:46:25.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074263782684066296;alfred67497;@Rusia_HD Yes.;;2026-07-06T22:46:38.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264050733879533;kondeln;@Rusia_HD I would love to visit Russia. My relatives were born there;Edmonton, Alberta;2026-07-06T22:47:42.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264162218201460;daw49164_dawson;@Rusia_HD Yeah;Edinburgh, Scotland;2026-07-06T22:48:08.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264410382561594;IlokiSg;@Rusia_HD YES ❤️❤️❤️;Ile-de-France, France;2026-07-06T22:49:08.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264492444209430;JBONZ47763;@Rusia_HD Yes;USA;2026-07-06T22:49:27.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264535783952492;NikoNikolic2;@Rusia_HD Yes!!!!;;2026-07-06T22:49:37.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264604020994500;jdirtFOREVER;@Rusia_HD Sure.;#FEMAVI;2026-07-06T22:49:54.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264673713635509;Alainfradly;@Rusia_HD Yes;;2026-07-06T22:50:10.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264751908024361;voormijndochter;@Rusia_HD Hell yeah!!!!!;Nederland;2026-07-06T22:50:29.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264757947744446;TorresYoung888;@Rusia_HD Yes;Spain;2026-07-06T22:50:30.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264761789993359;schafe91600;@Rusia_HD Yes, with much appreciation for the northern Cossacks, defenders of Christianity.;;2026-07-06T22:50:31.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074264819868250355;kumbis2361;@Rusia_HD Si;;2026-07-06T22:50:45.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265009354637328;tecolosoX;@Rusia_HD Yes of course!;North Valley, NM;2026-07-06T22:51:30.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265032494366803;JagMike;@Rusia_HD yes;Jax - Milan - UK;2026-07-06T22:51:36.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265110793666629;CaptnJb06;@Rusia_HD Yes.;Missouri, USA;2026-07-06T22:51:55.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265162576494608;AnjaKessel43548;@Rusia_HD Ja;;2026-07-06T22:52:07.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265443108327872;RFroming;@Rusia_HD yes. st petersburg in summer would be nice;;2026-07-06T22:53:14.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265538302255307;Obonana_;@Rusia_HD Yes;;2026-07-06T22:53:36.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265543033438369;Antwill_1st;@Rusia_HD Yes;;2026-07-06T22:53:38.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265692824543407;Ronald21825551;@Rusia_HD Yes;;2026-07-06T22:54:13.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265696649822271;OlivierGdu49;@Rusia_HD Oui !!!;;2026-07-06T22:54:14.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265758134112412;MunroSofiec2;@Rusia_HD Sure.;;2026-07-06T22:54:29.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265813373321230;MRT9053;@Rusia_HD Yes;;2026-07-06T22:54:42.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265950161883247;kansas_orthodox;@Rusia_HD Yes, a million times.;;2026-07-06T22:55:15.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074265950661345575;augi_doggie;@Rusia_HD I would go in a minute.;California, USA;2026-07-06T22:55:15.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074266162922209730;milgecm;@Rusia_HD Si;LaGrange, GA;2026-07-06T22:56:05.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074266170799050765;HANY33239076;@Rusia_HD ○ Yes👍;From another world;2026-07-06T22:56:07.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074266181033148431;Welshwitchey;@Rusia_HD Yes, 🇷🇺👍;;2026-07-06T22:56:10.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074266192475308063;Tim196441;@Rusia_HD Yes;;2026-07-06T22:56:12.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074266226180993048;ogodowinm;@Rusia_HD Yes;;2026-07-06T22:56:20.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
2074266430577475867;AnnZandvliet;@Rusia_HD Yes;;2026-07-06T22:57:09.000Z;2026-07-09T14:01:40.528682+00:00;queued;;;2074139935297138972
